X,Y,class
0.03,0.99,0
1.03,-0.05,1
2.03,-0.08,0
3.03,-0.04,1
4.03,-0.54,1
5.03,0.66,1
6.03,0.34,0
7.03,-0.75,1
8.03,0.39,1
9.03,0.36,1
10.03,0.61,1
11.03,-0.31,1
12.03,-0.75,1
13.03,1.2,0
14.03,0.55,0
15.03,1.12,0
16.03,1.23,0
17.03,0.82,0
18.03,0.78,0
19.03,0.55,0
20.03,0.66,0
21.03,-0.2,1
22.03,0.75,0
23.03,-0.46,1
24.03,-0.13,0
25.03,-0.38,0
26.03,0.31,0
27.03,-0.02,1
28.03,0.17,1
29.03,-0.11,1
30.03,-0.15,1
31.03,-1.04,1
32.03,-0.01,1
33.03,-0.32,1
34.03,0.57,1
35.03,1,0
36.03,1,0
37.03,0.25,1
38.03,0.19,1
39.03,-0.63,1
40.03,-0.05,0
41.03,-0.39,1
42.03,0.05,0
43.03,0.14,0
44.03,0.38,0
45.03,1.39,0
46.03,1.57,0
47.03,0.73,0
48.03,0.16,0
49.03,0.15,0
50.03,-0.01,1
51.03,-0.23,1
52.03,0.45,0
53.03,0.68,0
54.03,0.29,0
55.03,0.16,1
56.03,0.98,0
57.03,0.25,0
58.03,1.32,0
59.03,0.56,1
60.03,0.75,0
61.03,0.99,0
62.03,-0.1,1
63.03,-0.38,1
64.03,-0.8,1
65.03,-0.37,1
66.03,0.96,0
67.03,-0.63,1
68.03,0.58,0
69.03,-0.7,1
70.03,0.85,0
71.03,0.9,0
72.03,0.07,0
73.03,0.12,1
74.03,0.46,1
75.03,-0.68,1
76.03,1.12,0
77.03,0.46,1
78.03,-0.45,1
79.03,-0.49,1
80.03,1.25,0
81.03,1.05,0
82.03,-0.21,1
83.03,0.51,0
84.03,-0.46,0
85.03,0.11,1
86.03,-0.07,1
87.03,0.28,0
88.03,-0.2,1
89.03,-0.12,1
90.03,-0.42,1
91.03,0.63,0
92.03,0.79,0
93.03,-0.81,1
94.03,0.6,0
95.03,0.59,1
96.03,-0.65,1
97.03,-0.42,1
98.03,0.42,0
99.03,0.18,0
